"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"ARE","United Arab Emirates",,0.74,,0.73,,0.8,,0.75,0.84,0.69,0.69,0.85,0.9,0.71,0.91,,
"GBR","United Kingdom",,0.88,,0.78,,0.98,,0.77,0.54,0.46,0.36,0.65,0.58,0.5,0.3,,
"USA","United States",,0.9,,0.92,,1.11,,0.37,0.29,0.11,0.04,0.45,0.35,0.52,0.41,,
"URY","Uruguay",,0.68,,0.53,,0.89,,0.74,0.73,0.61,0.79,0.91,0.87,0.89,0.88,,
"UZB","Uzbekistan",,-0.19,,-0.48,,-1.3,,-1.23,-1.42,-1.57,-1.94,-1.68,-1.34,-1.13,-0.91,,
"VUT","Vanuatu",,1.04,,1.05,,1.08,,1.13,0.94,0.75,1.41,1.39,1.28,1.16,1.27,,
"VEN","Venezuela, Bolivarian Republic of",,-0.75,,-0.32,,-0.49,,-1.47,-1.41,-1.35,-1.24,-1.23,-1.27,-1.32,-1.41,,
"VNM","Viet Nam",,0.39,,0.36,,0.22,,0.3,0.13,0.13,0.34,0.39,0.28,0.21,0.19,,
"YEM","Yemen",,-1.14,,-1.48,,-1.34,,-1.38,-1.36,-1.67,-1.47,-1.33,-1.55,-1.93,-2.31,,
"ZMB","Zambia",,-0.5,,-0.01,,-0.38,,-0.33,-0.07,0,0,0.34,0.35,0.41,0.51,,
"ZWE","Zimbabwe",,-0.62,,-0.8,,-1.41,,-1.72,-1.49,-1.52,-1.61,-1.03,-1.28,-1.38,-1.44,,
